# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,35000,VRT 350,173 173,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,
*w,,,,,,"B509","0E",,,,,,
*wi,#install,,,,,"B509","0E",,,,,,
*ws,#service,,,,,"B509","0E",,,,,,
*[SW],scan,,,SW,,,,,,,,,
[SW<=108]r;wi,,resvdStorage1Sensor,,,,,"0000",,,tempsensor,,,
[SW<=108]r;wi,,resvdStorage2Sensor,,,,,"0100",,,tempsensor,,,
[SW<=108]r;wi,,resvdStorage3Sensor,,,,,"0200",,,tempsensor,,,
[SW<=108]r;wi,,resvdColl1Sensor,,,,,"0300",,,tempsensor,,,
[SW<=108]r;wi,,resvdColl2Sensor,,,,,"0400",,,tempsensor,,,
[SW<=108]r;wi,,YieldSensor,,,,,"0500",,,tempsensor,,,
[SW<=108]r;wi,,resvdCollPump1,,,,,"0600",,,UCH,,,
[SW<=108]r;wi,,ActualPumpPower,,,,,"0700",,,HEX:2,,,
[SW<=108]r;wi,,resvdCollPump2,,,,,"0800",,,UCH,,,
[SW<=108]r;wi,,UV1State,,,,,"0900",,,UCH,,,
[SW<=108]r;wi,,LegioPump,,,,,"0A00",,,onoff,,,
[SW<=108]r;wi,,CirPump,,,,,"0B00",,,onoff,,,
[SW<=108]r;wi,,ElectronicCartridge,,,,,"0C00",,,onoff,,,
[SW<=108]r;wi,,C1C2State,,,,,"0D00",,,onoff,,,
[SW<=108]r;wi,,BypassValve,,,,,"0E00",,,onoff,,,
[SW<=108]r;wi,,RoomTemp,Aktuelle Raumtemperatur,,,,"0F00",,,tempsensor,,,
[SW<=108]r;wi,,RoomTempOffsetSelfWarming,,,,,"1000",,,temp,,,
[SW<=108]r;wi,,RoomTempOffset,,,,,"1100",,,temp,,,
[SW<=108]r;wi,,OutsideTemp,Außentemperatur [°C],,,,"1200",,,tempsensor,,,
[SW<=108]r;wi,,OutsideTempOffset,,,,,"1300",,,temp,,,
[SW<=108]r;wi,,ActualTempDesired,,,,,"1400",,,temp0,,,
[SW<=108]r;wi,,OperatingMode,,,,,"1500",,,mcmode,,,
[SW<=108]r;wi,,ActualWeekday,,,,,"1600",,,bday,,,
[SW<=108]r;wi,,Time,,,,,"1700",,,time,,,
[SW<=108]r;wi,,ReducedNightTemp,,,,,"1800",,,temp,,,
[SW<=108]r;wi,,PrevOperatingMode,,,,,"1900",,,mcmode,,,
[SW<=108]r;wi,,TeleSwOperatingMode,,,,,"1A00",,,mcmode,,,
[SW<=108]r;wi,,HwcState,,,,,"1B00",,,UCH,,,
[SW<=108]r;wi,,YearCalendarActive,,,,,"1C00",,,UCH,0=off;7=on,,
[SW<=108]r;wi,,ClockSwitchSummerWinterDone,,,,,"1D00",,,onoff,,,
[SW<=108]r;wi,,Yield,,,,,"1E00",,,UIN,,,
[SW<=108]r;wi,,CollPumpHRuntime,,,,,"1F00",,,UIN;UIN,,,
[SW<=108]r;wi,,Date,,,,,"2000",,,date,,,
[SW<=108]r;wi,,RoomTempSwitchOn,,,,,"2100",,,UCH,0=off;1=modulating;2=thermostat,,
[SW<=108]r;wi,,ROCRoomSet,,,,,"2200",,,temp,,,
[SW<=108]r;wi,,OffsetDesTemp,,,,,"2300",,,temp,,,
[SW<=108]r;wi,,StateOfRoomCon,,,,,"2400",,,UCH,,,
[SW<=108]r;wi,,LegioProtectionState,,,,,"2500",,,onoff,,,
[SW<=108]r;wi,,StatusDcf,,,,,"2600",,,dcfstate,,,
[SW<=108]r;wi,,DcfDaten,,,,,"2700",,,UIN,,,
[SW<=108]r;wi,,IsInHoliday,,,,,"2800",,,UCH,,,
[SW<=108]r;wi,,IsInParty,,,,,"2900",,,onoff,,,
[SW<=108]r;wi,,IsInSingleHwcLoadingMode,,,,,"2A00",,,onoff,,,
[SW<=108]r;wi,,RestoreOpModeAfterHoliday,,,,,"2B00",,,onoff,,,
[SW<=108]r;wi,,IsInSavingsFunction,,,,,"2C00",,,onoff,,,
[SW<=108]r;wi,,SavingsFunctionTime,,,,,"2D00",,,time;onoff,,,
[SW<=108]r;wi,,SwitchOffParty,,,,,"2E00",,,onoff,,,
[SW<=108]r;wi,,IsInTeleSwitch,,,,,"2F00",,,onoff,,,
[SW<=108]r;wi,,IsInFloorPavingDrying,,,,,"3000",,,onoff,,,
[SW<=108]r;wi,,IsInQuickVeto,,,,,"3100",,,onoff,,,
