# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,,,
#,VR630,calorMATIC 630/3,0020092435 163 Mixer,,,,,,,,,,,,,
*r,mc,,,,,"B509","0D",,,,,,,,,
*w,mc,,,,,"B509","0E",,,,,,,,,
*wi,mc#install,,,,,"B509","0E",,,,,,,,,
*[SW<=400],scan,,,SW,,<=400,,,,,,,,,,
*[SW>=401],scan,,,SW,,>=401,,,,,,,,,,
# ##### Statistics #####,,,,,,,,,,,,,,,,
r,,StatPowerOn,StatPowerOn,,,,"CC00",,,UIN,,,,,,
r,,StatOperatingHours,StatOperatingHours,,,,"CD00",,,UIN,,,,,,
r,,StatMonthOfInstallation,StatMonthOfInstallation,,,,"CE00",,,UCH,,,,,,
r,,StatYearOfInstallation,StatYearOfInstallation,,,,"CF00",,,UCH,,,,,,
r,,Stat15MinBusTimeout,Stat15MinBusTimeout,,,,"D000",,,UCH,,,,,,
r,,StatRTOSErrorcode,StatRTOSErrorcode,,,,"D100",,,UIN,,,,,,
r,,StatRestarts,StatRestarts,,,,"D200",,,UIN,,,,,,
r,,StatRTOSErrorCounter,StatRTOSErrorCounter,,,,"D300",,,UIN,,,,,,
# ##### MK1: Daten #####,,,,,,,,,,,,,,,,
r,,FlowTemp,Vorlauftemp. IST,,,,"0100",,,tempsensor,,,,,,
r,,FlowTempDesired,Vorlauftemp. SOLL,,,,"4600",,,temp1,,,,,,
r,,TeleSwitch,TeleSWITCH,,,,"0A00",,,onoff,,,,,,
r,,IsInHoliday,Ferienmodus aktiv,,,,"2700",,,UCH,,,,,,
r,,IsInStorageFilling,Speicherladung aktiv,,,,"4700",,,yesno,,,,,,
r,,CleaningLady,Sparfunktion,,,,"4B00",,,UCH,,,,,,
r,,IsInParty,Partymodus aktiv,,,,"4E00",,,UCH,,,,,,
r,,MixerDutyCycle,Mischeransteuerung,,,,"0E00",,,SCH,,,,,,
r,,HcPumpPort,Pumpenstatus,,,,"9100",,,onoff,,,,,,
# ##### MK1: Konfiguration #####,,,,,,,,,,,,,,,,
r;w,,OtShutdownLimit,AT-Abschaltgrenze,,,,"3600",,,desiredtemp,,,,,,
r;w,,FlowTempMin,Minimaltemperatur,,,,"3000",,,temp0,,,,,,
r;w,,TempDesiredLow,Absenktemperatur,,,,"3300",,,temp1,,,,,,
r;wi,,CfgHeatSinkType,Kreis deaktivieren,,,,"3C00",,,UCH,0=disabled;1=mixer;2=water;3=fixvalue;4=backflow,,,,,
