# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,,,
#,SOLSY,auroMATIC 620/3,0020080463 163 Burner,,,,,,,,,,,,,
*r,hc,,,,,"B509","0D",,,,,,,,,
*w,hc,,,,,"B509","0E",,,,,,,,,
*wi,hc#install,,,,,"B509","0E",,,,,,,,,
*[SW>=401],scan,,,SW,,>=401,,,,,,,,,,
*[SW<=400],scan,,,SW,,<=400,,,,,,,,,,
# ##### Statistics #####,,,,,,,,,,,,,,,,
r,,StatPowerOn,StatPowerOn,,,,"CC00",,,UIN,,,,,,
r,,StatOperatingHours,StatOperatingHours,,,,"CD00",,,UIN,,,,,,
r,,StatMonthOfInstallation,StatMonthOfInstallation,,,,"CE00",,,UCH,,,,,,
r,,StatYearOfInstallation,StatYearOfInstallation,,,,"CF00",,,UCH,,,,,,
r,,Stat15MinBusTimeout,Stat15MinBusTimeout,,,,"D000",,,UCH,,,,,,
r,,StatRTOSErrorcode,StatRTOSErrorcode,,,,"D100",,,UIN,,,,,,
r,,StatRestarts,StatRestarts,,,,"D200",,,UIN,,,,,,
r,,StatRTOSErrorCounter,StatRTOSErrorCounter,,,,"D300",,,UIN,,,,,,
# ##### BK1: Daten #####,,,,,,,,,,,,,,,,
r,,SumFlowSensor,VF1,,,,"0400",,,tempsensor,,,Temperature measured on VF1,,,
r,,OutsideTemp,Außentemperatursensor,,,,"0600",,,tempsensor,,,Outside temperature,,,
r,,FlowTempDesired,Vorlaufsolltemperatur,,,,"4600",,,temp1,,,Flow temperature BK1 want to have to fullfill the actual heat demand,,,
r,,TeleSwitch,TeleSwitch,,,,"0A00",,,onoff,,,State of the Teleswitch,,,
r,,IsInHoliday,Ferienprogramm aktiv,,,,"2700",,,UCH,,,Every bit of this byte represents a heating circuit; holiday function can be started by setting the HC's corresponding bit,,,
r,,IsInStorageFilling,Speicherladung aktiv,,,,"4700",,,yesno,,,burner circuit is locked because of ongoing tank loading,,,
r,,CleaningLady,Sparfunktion,,,,"4B00",,,UCH,,,saving function is activated until read value * 1/2 h,,,
r,,IsInParty,Partyfunktion aktiv,,,,"4E00",,,UCH,,,Every bit of this byte represents a heating circuit; if bit is set the party function is activated for the corresponding HC,,,
r,,Hc1PumpPort,HK1-P,,,,"8E00",,,onoff,,,State of burner cicuit pump on HK1P,,,
# ##### BK1: Konfiguration #####,,,,,,,,,,,,,,,,
