# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,PMW00,VPM-W Fresh water Station,PMW 244
*r,hwc,,,,"0A","B509","0D"
*w,hwc,,,,"0A","B509","0E"
*ws,hwc#service,,,,"0A","B509","0E"
# ##### Generell #####
r,,Ntc1Sensor,NTC 1 Sensor,,,,"0000",,,tempsensor,,,T1 Temperature
r,,Ntc2Sensor,NTC 2 Sensor,,,,"0100",,,tempsensor,,,T2 Temperature
r,,Ntc3Sensor,NTC 3 Sensor,,,,"0200",,,tempsensor,,,T3 Temperature
r,,Vortex,Vortex,,,,"0300",,,UIN,,,"Frequency in Hz ( 1: y [l/min] = 0,0835 * x [Hz] - 0,03, 2: y [l/min] = 0,185 * x [Hz] )"
r,,CircoPump,Zirkulationspumpe,,,,"0400",,,UCH,,,Leistung in %
r,,PumpED,Einschaltdauer Pumpe,,,,"0500",,,UCH,,,Leistung in %
r,,CalculatedMixerPosition,Berechnete Mischerposition,,,,"0600",,,UIN,,,0 : primär offen .. 220 primär geschlossen
r,,ElectricalHeater,Elektrischer Heizstab,,,,"0800",,,onoff,,,
r,,HeatDemand,Wärmeanforderung,,,,"0900",,,temp,,,
r,,OperatingMode,Betriebsart,,,,"0A00",,,mcmode,,,"0=OFF, 1=ON, 2=AUTO, 3=MANUAL"
r,,ManualTappingTempDesired,ManualTappingSetpoint,,,,"0B00",,,temp,,,
r,,AutoTappingTempDesired,Automatischer Zapfsollwert,,,,"0C00",,,temp,,,
r,,QuickVetoTempDesired,Quick Veto Sollwert,,,,"0D00",,,temp,,,
r,,ActualTappingTempDesired,Aktueller Zapfsollwert,,,,"0E00",,,temp,,,
r,,QuickVetoStart,Quick Veto start,,,,"0F00",,,onoff,,,
r,,LegioStartDay,Starttag Legionellenschutz,,,,"1000",,,UCH,,,0=Montag1 = Dienstag..6 = Sonntag7 = Legionellenschutz aus8 = täglich
r,,LegioStartTime,Startzeit Legionellenschutz,,,,"1100",,,time,,,Time when LegioProtect starts on specific day
r,,PartyStart,Start Partyfunktion,,,,"1200",,,onoff,,,Start Party Mode
r,,HolidayStart,Start Ferienfunktion,,,,"1300",,,onoff,,,Start Holiday Mode
r,,ActorFernsteuerung,ActorFernsteuerung,,,,"1B00",,,onoff,,,TRUE -> RemoteControl of actors
r,,Time,Zeit,,,,"2C00",,,time,,,System Time
r,,Date,Datum,,,,"2D00",,,date,,,System Date
r,,Weekday,Wochentag,,,,"2E00",,,bday,,,"System Weekday (0=Monday, 5=Saturday, 6=Sunday)"
r,,TeleSwitch,TeleSwitch,,,,"3900",,,UCH,,,"TeleSwitch Operating Mode (0=disabled, 1=ON, 2=OFF, 3=AUTO"
r,,TeleSwitchState,TeleSwitchState,,,,"3A00",,,onoff,,,Teleswitch port state (On / Off)
r,,EnableHwcOperation,EnableDHWOperation,,,,"4300",,,onoff,,,Enable DHW Ooperation
r,,SingleStorageCharge,1x Speicherladung,,,,"4400",,,onoff,,,Enable SingleTankCharge
r,,DurchflussTemp,Volumenstrom,,,,"4600",,,temp,,,Volumenstrom in Liter / Minute
r,,VPMWMode,VPMW Typ,,,,"4B00",,,UCH,,,"1=VPM 20/25W, 2=VPM 30/35W"
# ##### P-I-Regler #####
r,,Krm,Krm,,,,"1400",,,SIN,,,"enter value in 1/1000: 25=0.025, 250=0,25, 2500=2,5"
r,,Tm,Tm,,,,"1500",,,SIN,,,"enter value in 1/1000: 25=0.025, 250=0,25, 2500=2,5"
r,,Tnm,Tnm,,,,"1600",,,SIN,,,"enter value in 1/1000: 25=0.025, 250=0,25, 2500=2,5"
r,,Tvm,Tvm,,,,"1700",,,SIN,,,"enter value in 1/1000: 25=0.025, 250=0,25, 2500=2,5"
r,,Krp,Krp,,,,"1800",,,SIN,,,"enter value in 1/1000: 25=0.025, 250=0,25, 2500=2,5"
r,,Tvp,Tvp,,,,"1900",,,SIN,,,"enter value in 1/1000: 25=0.025, 250=0,25, 2500=2,5"
r,,Tp,Tp,,,,"1A00",,,SIN,,,"enter value in 1/1000: 25=0.025, 250=0,25, 2500=2,5"
r,,HexMonitoringCounter,HexMonitoringCounter,,,,"4700",,,SIN,,,RO
r,,HExThreshold,HExThreshold,,,,"4800",,,SIN,,,RO
r,,BigHExThreshold,BigHExThreshold,,,,"4900",,,SIN,,,RW
r,,HExIndex,HExIndex,,,,"4A00",,,SIN,,,RO
r,,ActualKrm,Actual_Krm,,,,"4C00",,,SIN,,,"Krm used for calculation (set in DynamicTnm), valid after 1. Tapping"
r,,ActualTnm,Actual_Tnm,,,,"4D00",,,SIN,,,"Tnm used for calculation (set in DynamicTnm), valid after 1. Tapping"
r,,KrmFaktorSmall,Krm_Faktor_Small,,,,"4E00",,,SIN,,,Krm Verstärkungsfaktor Small (1/1000)
r,,KrmFaktorMiddl,Krm_Faktor_Middl,,,,"4F00",,,SIN,,,Krm Verstärkungsfaktor Middl (1/1000)
r,,TnmFaktorSmall,Tnm_Faktor_Small,,,,"5000",,,SIN,,,Tnm Verstärkungsfaktor Small (1/1000)
r,,TnmFaktorMiddl,Tnm_Faktor_Middl,,,,"5100",,,SIN,,,Tnm Verstärkungsfaktor Middl (1/1000)
# ##### Statemachine #####
r,,StateMainControl,State_MainControl,,,,"2F00",,,UCH,,,Aktuelle Zustandsnummer MainControl
r,,StateMixerPumpControl,State_MixerPumpControl,,,,"3000",,,UCH,,,Aktuelle Zustandsnummer MixerPumpControl
r,,StateCircoKick,State_CircoKick,,,,"3100",,,UCH,,,Aktuelle Zustandsnummer CircoKickControl
r,,StateHExMonitoring,State_HExMonitoring,,,,"3200",,,UCH,,,Aktuelle Zustandsnummer HExMonitoring
r,,TimeTicker,TimeTicker,,,,"3300",,,ULG,,,Sekunden des Tages
# ##### Statistik #####
r;ws,,StLegioStopTimeCounter,Legionellenschutz Stop Zähler,,,,"3E00",,,UIN,,,End LegioProtect with Stop
r;ws,,StLegioAbortTimeCounter,Legionellenschutz Abbruch Zähler,,,,"3F00",,,UIN,,,End LegioProtect with Abort
r;ws,,StFrostProtCounter,Frostschutz Zähler,,,,"4000",,,UIN,,,FrostProtectCounter
r;ws,,StInstallationDate,Installationsdatum,,,,"4100",,,date,,,Installation Date
r;ws,,SteBusCheckFailedCounter,SteBusCheckFailedCounter,,,,"4200",,,UIN,,,eBus Failed Counter
r,,ZaehlerBetriebsStunden,ZaehlerBetriebsStunden,,,,"4500",,,UIN,,,Working Hours
