# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,ZEO00,Zeolite AMU,ZEO00 197 Boiler,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,
*w,,,,,,"B509","0E",,,,,,
*ws,#service,,,,,"B509","0E",,,,,,
# ##### ZEO: Zeolite #####,,,,,,,,,,,,,
r,,EnergyDemand,EnergyDemand,,,,"2700",,,onoff,,,vom UI
r,,BoilerDemand,BurnerDemand,,,,"4F00",,,onoff,,,von der BMU
r,,B1Press,P_B1,,,,"5C00",,,onoff,,,Pumpe Kondensatorkreis
r,,PrimaryCircuitPump2Power,PrimaryCircuitPump2Power,,,,"5F00",,,UIN,,,aktuelle Leistung in %
r,,B2Press,P_B2,,,,"6000",,,UCH,,,Pumpe Umweltkreis
r,,SMPrimaryCircuitCycleOKState,SM_PrimaryCircuitCycle_OKState,,,,"6200",,,UCH,,,Prozesszustand
r,,Pos1,Pos1,,,,"6500",,,onoff,,,Umschalterposition Direktheizbetrieb
r,,Pos2,Pos2,,,,"6600",,,onoff,,,Umschalterposition Desorption mit Bypass
r,,PrimaryCircuitCycleState,PrimaryCircuitCycleState,,,,"6800",,,UCH,,,
r,,Ventilatorfreigabe,Ventilatorfreigabe,,,,"6A00",,,onoff,,,Kollektorventilator
r,,VolumenstromPumpP1,Volumenstrom_P_P1,,,,"6B00",,,UIN,,,in %
r,,VolumenstromPumpP2,Volumenstrom_P_P2,,,,"6C00",,,UIN,,,in %
r;ws,,manWeiter,man_weiter,,,,"7000",,,onoff,,,
r,,WAnfo,W_Anfo,,,,"7200",,,onoff,,,
r,,Quelle,Quelle,,,,"7300",,,UCH,,,1=DHB 2=Kollektorbetrieb 3=Wärmetauscherbetrieb
r,,PrimaryCircuitPumpsControlState,PrimaryCircuitPumpsControlState,,,,"7400",,,UCH,,,
r,,PlValve,V_Pl,,,,"7700",,,onoff,,,Primärkreisumschalter Linkslauf
r,,PrValve,V_Pr,,,,"7800",,,onoff,,,Primärkreisumschalter Rechtslauf
r,,testbetrieb,testbetrieb,,,,"7A00",,,onoff,,,
r,,HwcAnfo,BW_Anfo,,,,"7B00",,,onoff,,,
r,,BrAnfo,Br_Anfo,,,,"8200",,,onoff,,,Ansteuerung Gasventil
r,,DesiredPositionReached,DesiredPositionReached,,,,"8300",,,onoff,,,
r,,GFAStoerung,GFA_Stoerung,,,,"8500",,,onoff,,,
r,,TadsAus,Tads_aus,,,,"8600",,,temp,,,°C
r,,MSWMax,MSW_max,,,,"8800",,,UCH,,,in %
r,,TdesEin,Tdes_ein,,,,"8900",,,temp,,,°C
r,,ActualEnvironmentalPower,ActualEnvironmentalPower,,,,"8A00",,,power,,,in kW (Näherungswert)
r,,PWTSoll,PWT_Soll,,,,"8B00",,,temp,,,°C
r,,PrimVol,Prim_Vol,,,,"8C00",,,UCH,,,in %
r,,TsoleEin,Tsole_ein,,,,"8F00",,,tempsensor,,,°C; hinten
r,,TsoleAus,Tsole_aus,,,,"9000",,,tempsensor,,,°C; vorne
r,,PLH,PL_H,,,,"9100",,,onoff,,,Umschalterposition Desorption ohne Bypass
r,,PLPump,PL_P,,,,"9200",,,onoff,,,Umschalterposition Adsorption
r,,PrimaryCircuitPump1Power,PrimaryCircuitPump1Power,,,,"A700",,,UIN,,,in %
r,,PrimaryCircuitSwitchControlState,PrimaryCircuitSwitchControlState,,,,"A900",,,UCH,,,
r,,PrimaryCircuitPump1PowerCorrected,PrimaryCircuitPump1PowerCorrected,,,,"B300",,,UIN,,,
r,,PrimaryCircuitPump2PowerCorrected,PrimaryCircuitPump2PowerCorrected,,,,"B400",,,UIN,,,
r,,tdesUm,tdes_um,,,,"BA00",,,temp,,,
r,,QZeo,Q_zeo,,,,"DD00",,,UIN,,,in kWh
r,,PumpB1Valve,V_P_B1,,,,"DE00",,,UIN,,,Durchflussmenge durch Verdampfer
r,,ZSpNach,Z_Sp_nach,,,,"DF00",,,UCH,,,Nachlaufzeit Speicherpumpe/min
r,,Teillast,Partload,,,,"F800",,,UCH,,,0..100% MSW_max in Testbetrieb
r,,PrimaryCircuitMicroSwitchPattern,PrimaryCircuitMicroSwitchPattern,,,,"F900",,,UCH,,,1=Des.o.B. 2=Adsorption 4=Des.m.B. 8=Direktheizbetrieb
# ##### ZEO: Global #####,,,,,,,,,,,,,
r,,Code1Code2Valid,Code1Code2Valid,,,,"0100",,,onoff,,,
r,,dcfStatus,dcfStatus,,,,"3A00",,,UCH,,,
r,,StackeBUSTaskMax,MaxStackeBUSTask,,,,"3B00",,,UCH,,,
r,,StackMainTaskMax,MaxStackMainTask,,,,"3C00",,,UCH,,,
r,,StackLifeCheckTaskMax,MaxStackLifeCheckTask,,,,"3D00",,,UCH,,,
r,,ErrorActual,Error_Actual,,,,"4600",,,UCH,,,
r,,Global_ErrorActual,Error_Actual,,,,"4602",,,UCH,,,
r,,ErrorHistory,Error_History,,,,"4700",,,UCH,,,
r,,Global_ErrorHistory,Error_History,,,,"4702",,,UCH,,,
r,,Reset,Reset,,,,"4800",,,onoff,,,
r,,RebootCounter,RebootCounter,,,,"5100",,,UIN,,,incremented each time Firmware boots
r,,Anlegethermostat,Anlegethermostat,,,,"A100",,,onoff,,,
# ##### ZEO: BMR #####,,,,,,,,,,,,,
r,,IsInHoliday,Holiday function active,,,,"0200",,,UCH,,,
r,,OutsideTempCorrection,OutsideTempSensorCorrection,,,,"0800",,,temps,,,"0,5°C resolution"
r,,HolidayTempDesired,DesiredHolidayTemperature,,,,"0F00",,,temp1,,,1/2 °C resolution
r,,HeatingCurve,Heating curve,,,,"1000",,,curve,,,1/100 resolution
r,,OtShutdownLimit,OtShutdownLimit,,,,"1100",,,UCH,,,1 °C resolution Bedarfsabhängige Heizungsabschaltung
r,,BoilerMaxPreShutdown,BoilerMaxPreShutdown,,,,"1400",,,UCH,,,15..120min
r,,HcFlowIncrease,HcFlowIncrease,,,,"1500",,,UCH,,,
r,,CircuitPeriods,CircuitPeriods,,,,"1900",,,UCH,,,
r,,LegioProtectionEnabled,LegioProtectionEnabled,,,,"1A00",,,onoff,,,Global for all DHW circuits
r,,IsInStorageFilling,IsInTankFilling,,,,"2000",,,onoff,,,
r,,FrostProtectDelay,FrostProtectDelay,,,,"2200",,,UCH,,,1h
r,,IsInParty,IsInParty,,,,"2600",,,UCH,,,
r,,HcPreShutdownActive,HcPreShutdownActive,,,,"2800",,,UCH,,,One bit for each heating circuit
r,,HcPreHeatingActive,HcPreHeatingActive,,,,"2900",,,UCH,,,One bit for each heating circuit
r,,InitCircuit,InitCircuit,,,,"2B00",,,UCH,,,One bit for each heating circuit
r,,StartOneOffFilling,StartOneOffFilling,,,,"2E00",,,UCH,,,One bit for each heating circuit
r,,StorageFlowTemp,TankFlowTemperature,,,,"2F00",,,temp0,,,1°C resolution
r,,HwcLoadingRequest,DhwLoadingRequest,,,,"3000",,,UCH,,,One bit for each heating circuit
r,,HwcLoadingEnabled,DhwLoadingEnabled,,,,"3100",,,onoff,,,One bit for each heating circuit
r,,HwcLaggingTime,DhwLaggingTime,,,,"3600",,,UCH,,,3..9min 1min Auflösung
r,,HwcLoadingDelay,DhwLoadingDelay,,,,"3700",,,UCH,,,0..30min / 1min
